A,B,C,G,Va,Vb,Vc,Ia,Ib,Ic
0,0,0,0,-4.32163332,-2.421400686,6.743034273,-47.52820396,57.40426255,-9.876058759
0,0,0,0,-4.043909471,-2.746719754,6.790629493,-49.46263115,56.21042205,-6.747791069
0,0,0,0,-3.410421629,-3.421597804,6.832019702,-53.17814312,53.13887204,0.03927091817
0,0,0,0,-2.558603585,-4.207073594,6.765677451,-56.90849447,48.37591016,8.532584165
0,0,0,0,-1.999155782,-4.658551641,6.657707696,-58.69034999,44.91354001,13.77680984
0,0,0,0,-1.897173977,-4.73584281,6.63301706,-58.96319912,44.25642564,14.70677334
0,0,0,0,-0.877271935,-5.42973668,6.307008891,-60.87142008,37.27447442,23.59694553
0,0,0,0,0.1861912789,-6.008476992,5.822285991,-61.35884878,29.2428708,32.11597786
1,1,1,0,0.0599925789,-0.01921443286,-0.04077786637,-59.58097775,17.02383368,42.55714396
1,1,1,0,0.05744550594,-0.01005854848,-0.04738667638,-57.25413799,9.524993425,47.72914446
1,1,1,0,0.05124246038,0.003473125647,-0.05471530272,-50.94327397,-4.013665508,54.9569394
1,1,1,0,0.03637085511,0.02427485678,-0.0606454129,-35.93243195,-24.76915476,60.70158636
1,1,1,0,0.01890794591,0.04055711631,-0.05946475121,-18.39059265,-40.95471809,59.34531043
1,1,1,0,0.0006929198842,0.05201445152,-0.05270705069,-0.1512206255,-52.28279664,52.43401698
1,1,1,0,-0.01164758698,0.05702623934,-0.04537832495,12.17652154,-57.19389909,45.0173773
1,1,1,0,-0.01629642964,0.05832232601,-0.04202556665,16.81567246,-58.44757507,41.63190236
1,1,1,0,-0.02797000605,0.05994482954,-0.03197448842,28.44462085,-59.95866683,31.51404576
1,1,1,0,-0.03943816298,0.05864574699,-0.01920724329,39.83986409,-58.53409737,18.69423308
1,1,1,0,-0.0446420921,0.05666321944,-0.0120207839,44.9962284,-56.48456877,11.48834018
1,1,1,0,-0.04776378883,0.0548357823,-0.007071648273,48.08304297,-54.61586407,6.532820912
1,1,1,0,-0.05115617077,0.05205425583,-0.000897738442,51.4287715,-51.78674405,0.3579724119
1,1,1,0,-0.05430863731,0.04828625612,0.006022729472,54.52578358,-47.96422139,-6.561562324
1,1,1,0,-0.05866317486,0.03765923306,0.02100428976,58.74752123,-37.23718064,-21.51034071
1,1,1,0,-0.05879456033,0.03697681664,0.02181809184,58.87114778,-36.5498771,-22.3212708
1,1,1,0,-0.05899151665,0.03578256031,0.02320930481,59.05469695,-35.34740999,-23.70728707
